ShimID,Customer Feedback,Breakage (Yes/No)
2432,"Positive, no issues",No
2433,"Positive, no issues",No
2434,Shim broke after 2 months,Yes
2435,Crack appeared,Yes
2436,"Positive, no issues",No
2437,"Positive, no issues",No
2438,Crack appeared,Yes
2439,"Positive, no issues",No
2440,Shim broke after 2 months,Yes
2441,"Positive, no issues",No
2442,Crack appeared,Yes
2443,"Positive, no issues",No
2444,"Positive, no issues",No
2445,"Positive, no issues",No
2446,Shim broke after 2 months,Yes
2447,"Positive, no issues",No
2448,"Positive, no issues",No
2449,Crack appeared,Yes
2450,"Positive, no issues",No
2451,"Positive, no issues",No
2452,Crack appeared,Yes
2453,"Positive, no issues",No
2454,Crack appeared,Yes
2455,"Positive, no issues",No
2456,"Positive, no issues",No
2457,"Positive, no issues",No
2458,Crack appeared,Yes
2459,"Positive, no issues",No
2460,"Positive, no issues",No
2461,"Positive, no issues",No
2462,"Positive, no issues",No
2463,"Positive, no issues",No
2464,Crack appeared,Yes
2465,"Positive, no issues",No
2466,"Positive, no issues",No
2467,"Positive, no issues",No
2468,"Positive, no issues",No
2469,Crack appeared,Yes
2470,Shim worn out quickly,Yes
2471,"Positive, no issues",No
2472,Shim broke after 2 months,Yes
2473,Shim broke after 2 months,Yes
2474,Crack appeared,Yes
2475,"Positive, no issues",No
2476,Crack appeared,Yes
2477,Shim worn out quickly,Yes
2478,"Positive, no issues",No
2479,"Positive, no issues",No
2480,"Positive, no issues",No
2481,"Positive, no issues",No
2482,Shim broke after 2 months,Yes
2483,Crack appeared,Yes
2484,"Positive, no issues",No
2485,"Positive, no issues",No
2486,Crack appeared,Yes
2487,"Positive, no issues",No
2488,"Positive, no issues",No
2489,Shim broke after 2 months,Yes
2490,Shim worn out quickly,Yes
2491,"Positive, no issues",No
2492,"Positive, no issues",No
2493,Shim worn out quickly,Yes
2494,Shim worn out quickly,Yes
2495,Shim broke after 2 months,Yes
2496,Shim worn out quickly,Yes
2497,"Positive, no issues",No
2498,Crack appeared,Yes
2499,Shim broke after 2 months,Yes
2500,Crack appeared,Yes
2501,"Positive, no issues",No
2502,"Positive, no issues",No
2503,Shim worn out quickly,Yes
2504,Shim worn out quickly,Yes
2505,"Positive, no issues",No
2506,Shim broke after 2 months,Yes
2507,"Positive, no issues",No
2508,"Positive, no issues",No
2509,"Positive, no issues",No
2510,"Positive, no issues",No
2511,"Positive, no issues",No
2512,Shim broke after 2 months,Yes
2513,Shim worn out quickly,Yes
2514,"Positive, no issues",No
2515,"Positive, no issues",No
2516,Crack appeared,Yes
2517,Shim worn out quickly,Yes
2518,Crack appeared,Yes
2519,"Positive, no issues",No
2520,"Positive, no issues",No
2521,"Positive, no issues",No
2522,Shim worn out quickly,Yes
2523,Shim broke after 2 months,Yes
2524,Shim worn out quickly,Yes
2525,Shim worn out quickly,Yes
2526,Shim broke after 2 months,Yes
2527,"Positive, no issues",No
2528,Shim worn out quickly,Yes
2529,"Positive, no issues",No
2530,"Positive, no issues",No
2531,"Positive, no issues",No
2532,"Positive, no issues",No
2533,Shim worn out quickly,Yes
2534,"Positive, no issues",No
2535,"Positive, no issues",No
2536,Crack appeared,Yes
2537,"Positive, no issues",No
2538,"Positive, no issues",No
2539,"Positive, no issues",No
2540,"Positive, no issues",No
2541,Shim broke after 2 months,Yes
2542,Crack appeared,Yes
2543,"Positive, no issues",No
2544,"Positive, no issues",No
2545,Shim worn out quickly,Yes
2546,"Positive, no issues",No
2547,Shim broke after 2 months,Yes
2548,"Positive, no issues",No
2549,"Positive, no issues",No
2550,Crack appeared,Yes
2551,"Positive, no issues",No
2552,Shim broke after 2 months,Yes
2553,"Positive, no issues",No
2554,Crack appeared,Yes
2555,Crack appeared,Yes
2556,"Positive, no issues",No
2557,Crack appeared,Yes
2558,"Positive, no issues",No
2559,"Positive, no issues",No
2560,Shim worn out quickly,Yes
2561,"Positive, no issues",No
2562,Shim broke after 2 months,Yes
2563,Shim worn out quickly,Yes
2564,Shim broke after 2 months,Yes
2565,"Positive, no issues",No
2566,Crack appeared,Yes
2567,Shim worn out quickly,Yes
2568,"Positive, no issues",No
2569,"Positive, no issues",No
2570,Crack appeared,Yes
2571,"Positive, no issues",No
2572,Crack appeared,Yes
2573,"Positive, no issues",No
2574,"Positive, no issues",No
2575,"Positive, no issues",No
2576,Shim broke after 2 months,Yes
2577,Shim broke after 2 months,Yes
2578,Shim worn out quickly,Yes
2579,Crack appeared,Yes
2580,Crack appeared,Yes
2581,"Positive, no issues",No
2582,"Positive, no issues",No
2583,Crack appeared,Yes
2584,"Positive, no issues",No
2585,"Positive, no issues",No
2586,Crack appeared,Yes
2587,"Positive, no issues",No
2588,Crack appeared,Yes
2589,Crack appeared,Yes
2590,Crack appeared,Yes
2591,Shim broke after 2 months,Yes
2592,Shim worn out quickly,Yes
2593,Crack appeared,Yes
2594,"Positive, no issues",No
2595,"Positive, no issues",No
2596,Crack appeared,Yes
2597,Shim broke after 2 months,Yes
2598,"Positive, no issues",No
2599,Crack appeared,Yes
2600,Shim broke after 2 months,Yes
2601,"Positive, no issues",No
2602,Shim broke after 2 months,Yes
2603,"Positive, no issues",No
2604,"Positive, no issues",No
2605,Shim worn out quickly,Yes
2606,"Positive, no issues",No
2607,Shim broke after 2 months,Yes
2608,"Positive, no issues",No
2609,"Positive, no issues",No
2610,Shim worn out quickly,Yes
2611,Shim broke after 2 months,Yes
2612,"Positive, no issues",No
2613,Shim broke after 2 months,Yes
2614,Shim worn out quickly,Yes
2615,Shim worn out quickly,Yes
2616,Shim worn out quickly,Yes
2617,"Positive, no issues",No
2618,Shim worn out quickly,Yes
2619,Shim worn out quickly,Yes
2620,"Positive, no issues",No
2621,Shim worn out quickly,Yes
2622,"Positive, no issues",No
2623,Crack appeared,Yes
2624,Shim worn out quickly,Yes
2625,"Positive, no issues",No
2626,Shim broke after 2 months,Yes
2627,Shim broke after 2 months,Yes
2628,"Positive, no issues",No
2629,Crack appeared,Yes
2630,"Positive, no issues",No
2631,Crack appeared,Yes
2632,Shim broke after 2 months,Yes
2633,Crack appeared,Yes
2634,Shim broke after 2 months,Yes
2635,Shim broke after 2 months,Yes
2636,Shim worn out quickly,Yes
2637,"Positive, no issues",No
2638,Shim broke after 2 months,Yes
2639,"Positive, no issues",No
2640,Shim worn out quickly,Yes
2641,"Positive, no issues",No
2642,Shim worn out quickly,Yes
2643,"Positive, no issues",No
2644,Crack appeared,Yes
2645,Shim broke after 2 months,Yes
2646,Shim broke after 2 months,Yes
2647,"Positive, no issues",No
2648,"Positive, no issues",No
2649,Shim worn out quickly,Yes
2650,"Positive, no issues",No
2651,Crack appeared,Yes
2652,Shim broke after 2 months,Yes
2653,Shim broke after 2 months,Yes
2654,Shim broke after 2 months,Yes
2655,"Positive, no issues",No
2656,Shim broke after 2 months,Yes
2657,"Positive, no issues",No
2658,Shim worn out quickly,Yes
2659,Shim broke after 2 months,Yes
2660,"Positive, no issues",No
2661,"Positive, no issues",No
2662,"Positive, no issues",No
2663,Shim worn out quickly,Yes
2664,Shim worn out quickly,Yes
2665,Shim broke after 2 months,Yes
2666,Crack appeared,Yes
2667,Shim worn out quickly,Yes
2668,Shim worn out quickly,Yes
2669,"Positive, no issues",No
2670,Shim broke after 2 months,Yes
2671,"Positive, no issues",No
2672,"Positive, no issues",No
2673,"Positive, no issues",No
2674,Shim broke after 2 months,Yes
2675,Crack appeared,Yes
2676,Shim broke after 2 months,Yes
2677,Shim worn out quickly,Yes
2678,"Positive, no issues",No
2679,"Positive, no issues",No
2680,Crack appeared,Yes
2681,"Positive, no issues",No
2682,Crack appeared,Yes
2683,"Positive, no issues",No
2684,Shim broke after 2 months,Yes
2685,"Positive, no issues",No
2686,"Positive, no issues",No
2687,Crack appeared,Yes
2688,"Positive, no issues",No
2689,Crack appeared,Yes
2690,Shim broke after 2 months,Yes
2691,Shim worn out quickly,Yes
2692,Shim worn out quickly,Yes
2693,Crack appeared,Yes
2694,"Positive, no issues",No
2695,Shim worn out quickly,Yes
2696,"Positive, no issues",No
2697,Shim broke after 2 months,Yes
2698,"Positive, no issues",No
2699,"Positive, no issues",No
2700,Shim broke after 2 months,Yes
2701,"Positive, no issues",No
2702,"Positive, no issues",No
2703,Shim broke after 2 months,Yes
2704,Shim broke after 2 months,Yes
2705,Shim worn out quickly,Yes
2706,"Positive, no issues",No
2707,Shim broke after 2 months,Yes
2708,Crack appeared,Yes
2709,Shim worn out quickly,Yes
2710,"Positive, no issues",No
2711,"Positive, no issues",No
2712,"Positive, no issues",No
2713,Crack appeared,Yes
2714,Shim worn out quickly,Yes
2715,"Positive, no issues",No
2716,Crack appeared,Yes
2717,"Positive, no issues",No
2718,Shim worn out quickly,Yes
2719,Shim worn out quickly,Yes
2720,Shim broke after 2 months,Yes
2721,Shim broke after 2 months,Yes
2722,"Positive, no issues",No
2723,Crack appeared,Yes
2724,"Positive, no issues",No
2725,"Positive, no issues",No
2726,"Positive, no issues",No
2727,Shim worn out quickly,Yes
2728,"Positive, no issues",No
2729,Shim worn out quickly,Yes
2730,Shim worn out quickly,Yes
2731,Shim worn out quickly,Yes
2732,Shim worn out quickly,Yes
2733,Crack appeared,Yes
2734,Crack appeared,Yes
2735,Shim worn out quickly,Yes
2736,Crack appeared,Yes
2737,"Positive, no issues",No
2738,Shim worn out quickly,Yes
2739,Shim broke after 2 months,Yes
2740,Crack appeared,Yes
2741,"Positive, no issues",No
2742,Crack appeared,Yes
2743,"Positive, no issues",No
2744,Shim broke after 2 months,Yes
2745,Shim broke after 2 months,Yes
2746,"Positive, no issues",No
2747,"Positive, no issues",No
2748,Shim broke after 2 months,Yes
2749,Shim broke after 2 months,Yes
2750,Shim worn out quickly,Yes
2751,Shim broke after 2 months,Yes
2752,Shim worn out quickly,Yes
2753,"Positive, no issues",No
2754,"Positive, no issues",No
2755,Crack appeared,Yes
2756,Shim worn out quickly,Yes
2757,"Positive, no issues",No
2758,Shim worn out quickly,Yes
2759,"Positive, no issues",No
2760,Shim worn out quickly,Yes
2761,"Positive, no issues",No
2762,Shim broke after 2 months,Yes
2763,Shim broke after 2 months,Yes
2764,Shim worn out quickly,Yes
2765,Shim worn out quickly,Yes
2766,Crack appeared,Yes
2767,Shim worn out quickly,Yes
2768,Shim worn out quickly,Yes
2769,Shim worn out quickly,Yes
2770,"Positive, no issues",No
2771,Crack appeared,Yes
2772,"Positive, no issues",No
2773,"Positive, no issues",No
2774,Crack appeared,Yes
2775,"Positive, no issues",No
2776,"Positive, no issues",No
2777,"Positive, no issues",No
2778,Shim broke after 2 months,Yes
2779,"Positive, no issues",No
2780,Crack appeared,Yes
2781,"Positive, no issues",No
2782,"Positive, no issues",No
2783,Shim worn out quickly,Yes
2784,Shim broke after 2 months,Yes
2785,"Positive, no issues",No
2786,Shim worn out quickly,Yes
2787,Crack appeared,Yes
2788,"Positive, no issues",No
2789,"Positive, no issues",No
2790,"Positive, no issues",No
2791,"Positive, no issues",No
2792,"Positive, no issues",No
2793,Shim worn out quickly,Yes
2794,"Positive, no issues",No
2795,"Positive, no issues",No
2796,"Positive, no issues",No
2797,"Positive, no issues",No
2798,Shim worn out quickly,Yes
2799,Crack appeared,Yes
2800,Crack appeared,Yes
2801,Shim worn out quickly,Yes
2802,Shim broke after 2 months,Yes
2803,"Positive, no issues",No
2804,"Positive, no issues",No
2805,Shim worn out quickly,Yes
2806,"Positive, no issues",No
2807,"Positive, no issues",No
2808,"Positive, no issues",No
2809,"Positive, no issues",No
2810,"Positive, no issues",No
2811,"Positive, no issues",No
2812,"Positive, no issues",No
2813,Crack appeared,Yes
2814,"Positive, no issues",No
2815,"Positive, no issues",No
2816,Shim broke after 2 months,Yes
2817,Shim broke after 2 months,Yes
2818,"Positive, no issues",No
2819,"Positive, no issues",No
2820,"Positive, no issues",No
2821,Crack appeared,Yes
2822,Shim broke after 2 months,Yes
2823,Shim worn out quickly,Yes
2824,"Positive, no issues",No
2825,Shim broke after 2 months,Yes
2826,"Positive, no issues",No
2827,"Positive, no issues",No
2828,Shim worn out quickly,Yes
2829,Shim worn out quickly,Yes
2830,Shim broke after 2 months,Yes
2831,Shim worn out quickly,Yes
2832,"Positive, no issues",No
2833,Shim worn out quickly,Yes
2834,"Positive, no issues",No
2835,"Positive, no issues",No
2836,Shim broke after 2 months,Yes
2837,Crack appeared,Yes
2838,Crack appeared,Yes
2839,"Positive, no issues",No
2840,Crack appeared,Yes
2841,"Positive, no issues",No
2842,Shim broke after 2 months,Yes
2843,Crack appeared,Yes
2844,Shim worn out quickly,Yes
2845,"Positive, no issues",No
2846,Shim broke after 2 months,Yes
2847,"Positive, no issues",No
2848,"Positive, no issues",No
2849,Shim worn out quickly,Yes
2850,"Positive, no issues",No
2851,Crack appeared,Yes
2852,"Positive, no issues",No
2853,"Positive, no issues",No
2854,Shim broke after 2 months,Yes
2855,Shim broke after 2 months,Yes
2856,"Positive, no issues",No
2857,"Positive, no issues",No
2858,"Positive, no issues",No
2859,Crack appeared,Yes
2860,"Positive, no issues",No
2861,"Positive, no issues",No
2862,"Positive, no issues",No
2863,Crack appeared,Yes
2864,Crack appeared,Yes
2865,"Positive, no issues",No
2866,"Positive, no issues",No
2867,Shim worn out quickly,Yes
2868,Shim worn out quickly,Yes
2869,"Positive, no issues",No
2870,Crack appeared,Yes
2871,"Positive, no issues",No
2872,Shim broke after 2 months,Yes
2873,"Positive, no issues",No
2874,"Positive, no issues",No
2875,"Positive, no issues",No
2876,Crack appeared,Yes
2877,Shim worn out quickly,Yes
2878,"Positive, no issues",No
2879,Crack appeared,Yes
2880,Shim worn out quickly,Yes
2881,Crack appeared,Yes
2882,Crack appeared,Yes
2883,Shim broke after 2 months,Yes
2884,Crack appeared,Yes
2885,"Positive, no issues",No
2886,Shim worn out quickly,Yes
2887,Shim broke after 2 months,Yes
2888,Crack appeared,Yes
2889,"Positive, no issues",No
2890,"Positive, no issues",No
2891,Crack appeared,Yes
2892,Crack appeared,Yes
2893,Crack appeared,Yes
2894,"Positive, no issues",No
2895,"Positive, no issues",No
2896,Shim worn out quickly,Yes
2897,Shim worn out quickly,Yes
2898,Crack appeared,Yes
2899,Shim worn out quickly,Yes
2900,"Positive, no issues",No
2901,"Positive, no issues",No
2902,"Positive, no issues",No
2903,"Positive, no issues",No
2904,"Positive, no issues",No
2905,Shim broke after 2 months,Yes
2906,Crack appeared,Yes
2907,"Positive, no issues",No
2908,Crack appeared,Yes
2909,"Positive, no issues",No
2910,"Positive, no issues",No
2911,Crack appeared,Yes
2912,Crack appeared,Yes
2913,"Positive, no issues",No
2914,"Positive, no issues",No
2915,Shim worn out quickly,Yes
2916,"Positive, no issues",No
2917,"Positive, no issues",No
2918,Shim broke after 2 months,Yes
2919,"Positive, no issues",No
2920,"Positive, no issues",No
2921,Shim broke after 2 months,Yes
2922,"Positive, no issues",No
2923,"Positive, no issues",No
2924,"Positive, no issues",No
2925,"Positive, no issues",No
2926,"Positive, no issues",No
2927,Crack appeared,Yes
2928,"Positive, no issues",No
2929,Shim broke after 2 months,Yes
2930,"Positive, no issues",No
2931,Crack appeared,Yes
2932,"Positive, no issues",No
2933,"Positive, no issues",No
2934,"Positive, no issues",No
2935,"Positive, no issues",No
2936,Shim worn out quickly,Yes
2937,Crack appeared,Yes
2938,Crack appeared,Yes
2939,"Positive, no issues",No
2940,Shim worn out quickly,Yes
2941,Shim worn out quickly,Yes
2942,"Positive, no issues",No
2943,"Positive, no issues",No
2944,"Positive, no issues",No
2945,"Positive, no issues",No
2946,Crack appeared,Yes
2947,Shim broke after 2 months,Yes
2948,"Positive, no issues",No
2949,Shim worn out quickly,Yes
2950,Crack appeared,Yes
2951,"Positive, no issues",No
2952,"Positive, no issues",No
2953,"Positive, no issues",No
2954,Crack appeared,Yes
2955,Shim worn out quickly,Yes
2956,Shim worn out quickly,Yes
2957,"Positive, no issues",No
2958,"Positive, no issues",No
2959,Crack appeared,Yes
2960,"Positive, no issues",No
2961,Shim broke after 2 months,Yes
2962,"Positive, no issues",No
2963,Shim broke after 2 months,Yes
2964,"Positive, no issues",No
2965,"Positive, no issues",No
2966,Crack appeared,Yes
2967,"Positive, no issues",No
2968,"Positive, no issues",No
2969,"Positive, no issues",No
2970,Crack appeared,Yes
2971,"Positive, no issues",No
2972,"Positive, no issues",No
2973,"Positive, no issues",No
2974,Shim worn out quickly,Yes
2975,"Positive, no issues",No
2976,Shim worn out quickly,Yes
2977,Crack appeared,Yes
2978,"Positive, no issues",No
2979,Shim worn out quickly,Yes
2980,"Positive, no issues",No
2981,"Positive, no issues",No
2982,"Positive, no issues",No
2983,"Positive, no issues",No
2984,"Positive, no issues",No
2985,"Positive, no issues",No
2986,Shim broke after 2 months,Yes
2987,Shim broke after 2 months,Yes
2988,Shim worn out quickly,Yes
2989,"Positive, no issues",No
2990,Crack appeared,Yes
2991,"Positive, no issues",No
2992,Shim broke after 2 months,Yes
2993,Crack appeared,Yes
2994,Crack appeared,Yes
2995,"Positive, no issues",No
2996,Crack appeared,Yes
2997,"Positive, no issues",No
2998,"Positive, no issues",No
2999,Crack appeared,Yes
3000,"Positive, no issues",No
3001,Crack appeared,Yes
3002,"Positive, no issues",No
3003,Shim worn out quickly,Yes
3004,Shim broke after 2 months,Yes
3005,"Positive, no issues",No
3006,"Positive, no issues",No
3007,"Positive, no issues",No
3008,Crack appeared,Yes
3009,Crack appeared,Yes
3010,"Positive, no issues",No
3011,"Positive, no issues",No
3012,"Positive, no issues",No
3013,Crack appeared,Yes
3014,"Positive, no issues",No
3015,Crack appeared,Yes
3016,Crack appeared,Yes
3017,Shim broke after 2 months,Yes
3018,Crack appeared,Yes
3019,Shim broke after 2 months,Yes
3020,"Positive, no issues",No
3021,Shim worn out quickly,Yes
3022,"Positive, no issues",No
3023,Shim broke after 2 months,Yes
3024,"Positive, no issues",No
3025,Shim broke after 2 months,Yes
3026,"Positive, no issues",No
3027,Shim broke after 2 months,Yes
3028,"Positive, no issues",No
3029,Shim broke after 2 months,Yes
3030,Crack appeared,Yes
3031,"Positive, no issues",No
3032,Crack appeared,Yes
3033,Shim worn out quickly,Yes
3034,"Positive, no issues",No
3035,"Positive, no issues",No
3036,Crack appeared,Yes
3037,Crack appeared,Yes
3038,Shim broke after 2 months,Yes
3039,"Positive, no issues",No
3040,"Positive, no issues",No
3041,"Positive, no issues",No
3042,Shim worn out quickly,Yes
3043,"Positive, no issues",No
3044,Shim broke after 2 months,Yes
3045,Crack appeared,Yes
3046,"Positive, no issues",No
3047,"Positive, no issues",No
3048,"Positive, no issues",No
3049,Crack appeared,Yes
3050,"Positive, no issues",No
3051,"Positive, no issues",No
3052,"Positive, no issues",No
3053,Crack appeared,Yes
3054,"Positive, no issues",No
3055,"Positive, no issues",No
3056,Crack appeared,Yes
3057,Shim broke after 2 months,Yes
3058,Shim worn out quickly,Yes
3059,"Positive, no issues",No
3060,"Positive, no issues",No
3061,"Positive, no issues",No
3062,Shim broke after 2 months,Yes
3063,"Positive, no issues",No
3064,"Positive, no issues",No
3065,Crack appeared,Yes
3066,"Positive, no issues",No
3067,Shim worn out quickly,Yes
3068,"Positive, no issues",No
3069,"Positive, no issues",No
3070,"Positive, no issues",No
3071,"Positive, no issues",No
3072,Crack appeared,Yes
3073,"Positive, no issues",No
3074,"Positive, no issues",No
3075,"Positive, no issues",No
3076,"Positive, no issues",No
3077,Shim worn out quickly,Yes
3078,Shim broke after 2 months,Yes
3079,Shim broke after 2 months,Yes
3080,Shim worn out quickly,Yes
3081,Crack appeared,Yes
3082,"Positive, no issues",No
3083,"Positive, no issues",No
3084,"Positive, no issues",No
3085,"Positive, no issues",No
3086,Shim broke after 2 months,Yes
3087,"Positive, no issues",No
3088,"Positive, no issues",No
3089,"Positive, no issues",No
3090,"Positive, no issues",No
3091,"Positive, no issues",No
3092,"Positive, no issues",No
3093,"Positive, no issues",No
3094,"Positive, no issues",No
3095,"Positive, no issues",No
3096,"Positive, no issues",No
3097,Shim broke after 2 months,Yes
3098,Shim worn out quickly,Yes
3099,"Positive, no issues",No
3100,"Positive, no issues",No
3101,Shim broke after 2 months,Yes
3102,"Positive, no issues",No
3103,Shim broke after 2 months,Yes
3104,"Positive, no issues",No
3105,Crack appeared,Yes
3106,Shim broke after 2 months,Yes
3107,"Positive, no issues",No
3108,Crack appeared,Yes
3109,"Positive, no issues",No
3110,Crack appeared,Yes
3111,Shim worn out quickly,Yes
3112,Shim worn out quickly,Yes
3113,Shim broke after 2 months,Yes
3114,Shim worn out quickly,Yes
3115,Crack appeared,Yes
3116,Crack appeared,Yes
3117,"Positive, no issues",No
3118,Shim broke after 2 months,Yes
3119,Crack appeared,Yes
3120,"Positive, no issues",No
3121,Shim broke after 2 months,Yes
3122,Crack appeared,Yes
3123,Crack appeared,Yes
3124,"Positive, no issues",No
3125,"Positive, no issues",No
3126,"Positive, no issues",No
3127,Crack appeared,Yes
3128,Shim broke after 2 months,Yes
3129,Crack appeared,Yes
3130,Shim worn out quickly,Yes
3131,Shim broke after 2 months,Yes
3132,Crack appeared,Yes
3133,"Positive, no issues",No
3134,Crack appeared,Yes
3135,"Positive, no issues",No
3136,"Positive, no issues",No
3137,Crack appeared,Yes
3138,Shim broke after 2 months,Yes
3139,Shim broke after 2 months,Yes
3140,"Positive, no issues",No
3141,Shim worn out quickly,Yes
3142,"Positive, no issues",No
3143,Shim worn out quickly,Yes
3144,"Positive, no issues",No
3145,Crack appeared,Yes
3146,Shim worn out quickly,Yes
3147,Shim broke after 2 months,Yes
3148,"Positive, no issues",No
3149,Shim broke after 2 months,Yes
3150,"Positive, no issues",No
3151,Shim broke after 2 months,Yes
3152,"Positive, no issues",No
3153,"Positive, no issues",No
3154,Shim broke after 2 months,Yes
3155,Crack appeared,Yes
3156,"Positive, no issues",No
3157,Shim worn out quickly,Yes
3158,"Positive, no issues",No
3159,"Positive, no issues",No
3160,"Positive, no issues",No
3161,"Positive, no issues",No
3162,"Positive, no issues",No
3163,Shim worn out quickly,Yes
3164,"Positive, no issues",No
3165,Crack appeared,Yes
3166,Crack appeared,Yes
3167,"Positive, no issues",No
3168,Shim worn out quickly,Yes
3169,"Positive, no issues",No
3170,"Positive, no issues",No
3171,Shim broke after 2 months,Yes
3172,"Positive, no issues",No
3173,Crack appeared,Yes
3174,"Positive, no issues",No
3175,"Positive, no issues",No
3176,Shim broke after 2 months,Yes
3177,Shim broke after 2 months,Yes
3178,Shim broke after 2 months,Yes
3179,"Positive, no issues",No
3180,"Positive, no issues",No
3181,"Positive, no issues",No
3182,Crack appeared,Yes
3183,"Positive, no issues",No
3184,Shim broke after 2 months,Yes
3185,Shim broke after 2 months,Yes
3186,Shim worn out quickly,Yes
3187,Shim worn out quickly,Yes
3188,Shim broke after 2 months,Yes
3189,Shim worn out quickly,Yes
3190,Shim broke after 2 months,Yes
3191,Shim worn out quickly,Yes
3192,"Positive, no issues",No
3193,"Positive, no issues",No
3194,Crack appeared,Yes
3195,"Positive, no issues",No
3196,Shim worn out quickly,Yes
3197,"Positive, no issues",No
3198,Shim broke after 2 months,Yes
3199,"Positive, no issues",No
3200,"Positive, no issues",No
3201,Shim worn out quickly,Yes
3202,"Positive, no issues",No
3203,Shim worn out quickly,Yes
3204,"Positive, no issues",No
3205,Shim broke after 2 months,Yes
3206,Crack appeared,Yes
3207,Shim broke after 2 months,Yes
3208,"Positive, no issues",No
3209,Crack appeared,Yes
3210,Crack appeared,Yes
3211,Crack appeared,Yes
3212,"Positive, no issues",No
3213,Crack appeared,Yes
3214,"Positive, no issues",No
3215,Crack appeared,Yes
3216,Shim broke after 2 months,Yes
3217,Shim broke after 2 months,Yes
3218,"Positive, no issues",No
3219,"Positive, no issues",No
3220,"Positive, no issues",No
3221,Shim worn out quickly,Yes
3222,"Positive, no issues",No
3223,Shim worn out quickly,Yes
3224,"Positive, no issues",No
3225,"Positive, no issues",No
3226,"Positive, no issues",No
3227,"Positive, no issues",No
3228,"Positive, no issues",No
3229,Shim worn out quickly,Yes
3230,"Positive, no issues",No
3231,Shim worn out quickly,Yes
3232,Shim broke after 2 months,Yes
3233,"Positive, no issues",No
3234,"Positive, no issues",No
3235,"Positive, no issues",No
3236,"Positive, no issues",No
3237,"Positive, no issues",No
3238,"Positive, no issues",No
3239,"Positive, no issues",No
3240,Shim broke after 2 months,Yes
3241,"Positive, no issues",No
3242,Crack appeared,Yes
3243,Shim broke after 2 months,Yes
3244,Crack appeared,Yes
3245,Shim broke after 2 months,Yes
3246,Crack appeared,Yes
3247,Crack appeared,Yes
3248,Shim broke after 2 months,Yes
3249,Crack appeared,Yes
3250,Shim worn out quickly,Yes
3251,Crack appeared,Yes
3252,"Positive, no issues",No
3253,"Positive, no issues",No
3254,"Positive, no issues",No
3255,Shim worn out quickly,Yes
3256,Shim worn out quickly,Yes
3257,"Positive, no issues",No
3258,Crack appeared,Yes
3259,"Positive, no issues",No
3260,"Positive, no issues",No
3261,"Positive, no issues",No
3262,Shim worn out quickly,Yes
3263,"Positive, no issues",No
3264,Shim broke after 2 months,Yes
3265,Shim broke after 2 months,Yes
3266,"Positive, no issues",No
3267,"Positive, no issues",No
3268,Shim worn out quickly,Yes
3269,Shim worn out quickly,Yes
3270,Crack appeared,Yes
3271,"Positive, no issues",No
3272,Crack appeared,Yes
3273,Shim worn out quickly,Yes
3274,Shim broke after 2 months,Yes
3275,"Positive, no issues",No
3276,"Positive, no issues",No
3277,"Positive, no issues",No
3278,Shim broke after 2 months,Yes
3279,"Positive, no issues",No
3280,Shim broke after 2 months,Yes
3281,"Positive, no issues",No
3282,"Positive, no issues",No
3283,Crack appeared,Yes
3284,"Positive, no issues",No
3285,Shim worn out quickly,Yes
3286,Shim worn out quickly,Yes
3287,"Positive, no issues",No
3288,"Positive, no issues",No
3289,Crack appeared,Yes
3290,"Positive, no issues",No
3291,Shim broke after 2 months,Yes
3292,Crack appeared,Yes
3293,Shim worn out quickly,Yes
3294,Shim broke after 2 months,Yes
3295,Shim worn out quickly,Yes
3296,"Positive, no issues",No
3297,"Positive, no issues",No
3298,"Positive, no issues",No
3299,Shim broke after 2 months,Yes
3300,Shim worn out quickly,Yes
3301,"Positive, no issues",No
3302,"Positive, no issues",No
3303,"Positive, no issues",No
3304,"Positive, no issues",No
3305,"Positive, no issues",No
3306,Shim broke after 2 months,Yes
3307,"Positive, no issues",No
3308,"Positive, no issues",No
3309,"Positive, no issues",No
3310,Shim worn out quickly,Yes
3311,"Positive, no issues",No
3312,"Positive, no issues",No
3313,Shim worn out quickly,Yes
3314,"Positive, no issues",No
3315,Shim worn out quickly,Yes
3316,Shim worn out quickly,Yes
3317,"Positive, no issues",No
3318,Shim broke after 2 months,Yes
3319,"Positive, no issues",No
3320,Shim worn out quickly,Yes
3321,"Positive, no issues",No
3322,Shim worn out quickly,Yes
3323,Shim worn out quickly,Yes
3324,"Positive, no issues",No
3325,"Positive, no issues",No
3326,Shim worn out quickly,Yes
3327,"Positive, no issues",No
3328,"Positive, no issues",No
3329,"Positive, no issues",No
3330,Shim worn out quickly,Yes
3331,Shim worn out quickly,Yes
3332,Shim worn out quickly,Yes
3333,"Positive, no issues",No
3334,"Positive, no issues",No
3335,Shim worn out quickly,Yes
3336,Shim worn out quickly,Yes
3337,"Positive, no issues",No
3338,"Positive, no issues",No
3339,"Positive, no issues",No
3340,Crack appeared,Yes
3341,"Positive, no issues",No
3342,"Positive, no issues",No
3343,"Positive, no issues",No
3344,"Positive, no issues",No
3345,"Positive, no issues",No
3346,"Positive, no issues",No
3347,Shim worn out quickly,Yes
3348,Shim worn out quickly,Yes
3349,Shim broke after 2 months,Yes
3350,"Positive, no issues",No
3351,Shim worn out quickly,Yes
3352,"Positive, no issues",No
3353,"Positive, no issues",No
3354,Crack appeared,Yes
