ShimID,Diameter (mm),Production Month,Screw Parameters,Handlebar Width (mm)
2161,40,2023-10,Type C / 6mm,646
2162,30,2023-12,Type B / 4mm,733
2163,28,2023-09,Type A / 4mm,728
2164,37,2022-07,Type B / 6mm,675
2165,22,2022-08,Type A / 4mm,785
2166,39,2023-06,Type A / 4mm,672
2167,28,2023-03,Type C / 5mm,746
2168,26,2022-12,Type A / 6mm,762
2169,25,2023-12,Type A / 5mm,685
2170,36,2022-09,Type A / 5mm,757
2171,28,2022-08,Type B / 6mm,766
2172,21,2022-05,Type B / 6mm,707
2173,26,2023-09,Type A / 6mm,672
2174,36,2023-07,Type C / 5mm,650
2175,39,2023-01,Type A / 5mm,651
2176,34,2022-02,Type A / 6mm,765
2177,40,2023-09,Type A / 4mm,660
2178,40,2023-04,Type B / 5mm,680
2179,21,2023-02,Type C / 5mm,751
2180,31,2023-07,Type B / 4mm,689
2181,21,2023-12,Type B / 4mm,709
2182,39,2022-03,Type C / 5mm,663
2183,40,2023-05,Type C / 5mm,697
2184,40,2023-08,Type B / 5mm,725
2185,38,2022-01,Type C / 4mm,798
2186,27,2022-12,Type A / 4mm,758
2187,34,2023-01,Type C / 5mm,645
2188,30,2022-09,Type A / 4mm,732
2189,39,2022-01,Type B / 6mm,740
2190,30,2022-01,Type C / 5mm,656
2191,30,2023-06,Type B / 6mm,749
2192,33,2022-04,Type C / 6mm,690
2193,35,2022-03,Type B / 6mm,738
2194,27,2023-04,Type A / 4mm,709
2195,22,2022-11,Type B / 5mm,792
2196,24,2022-07,Type B / 4mm,698
2197,38,2023-10,Type B / 6mm,675
2198,28,2023-06,Type C / 4mm,745
2199,34,2022-11,Type B / 5mm,771
2200,30,2022-08,Type C / 6mm,724
2201,20,2023-12,Type A / 5mm,800
2202,21,2022-03,Type C / 5mm,694
2203,21,2023-11,Type C / 5mm,697
2204,23,2022-10,Type A / 5mm,755
2205,23,2023-03,Type A / 5mm,718
2206,23,2023-07,Type C / 5mm,658
2207,20,2022-04,Type B / 5mm,731
2208,24,2022-03,Type A / 4mm,766
2209,36,2023-09,Type B / 5mm,793
2210,25,2022-03,Type C / 4mm,762
2211,38,2023-07,Type B / 5mm,661
2212,35,2023-01,Type C / 4mm,672
2213,38,2023-06,Type A / 5mm,674
2214,20,2022-05,Type C / 5mm,777
2215,33,2022-09,Type B / 4mm,739
2216,35,2022-12,Type B / 6mm,647
2217,32,2022-02,Type C / 4mm,713
2218,27,2022-01,Type C / 4mm,786
2219,39,2022-06,Type A / 5mm,787
2220,32,2022-10,Type C / 4mm,680
2221,40,2022-01,Type A / 5mm,694
2222,23,2022-03,Type A / 6mm,792
2223,24,2022-06,Type C / 6mm,709
2224,36,2023-09,Type A / 6mm,644
2225,20,2023-01,Type C / 5mm,715
2226,33,2023-11,Type C / 5mm,671
2227,30,2022-02,Type B / 4mm,653
2228,27,2023-01,Type B / 4mm,642
2229,20,2022-03,Type B / 4mm,665
2230,32,2022-06,Type A / 6mm,667
2231,20,2022-02,Type C / 6mm,661
2232,36,2023-11,Type C / 4mm,766
2233,25,2023-06,Type C / 4mm,784
2234,29,2023-06,Type A / 4mm,668
2235,34,2023-09,Type A / 4mm,760
2236,30,2022-08,Type C / 5mm,720
2237,37,2022-12,Type A / 4mm,697
2238,34,2022-01,Type A / 5mm,757
2239,20,2023-06,Type C / 5mm,792
2240,20,2023-09,Type B / 4mm,797
2241,21,2022-05,Type A / 6mm,725
2242,27,2023-05,Type A / 4mm,692
2243,22,2022-12,Type A / 5mm,743
2244,38,2023-01,Type A / 6mm,655
2245,34,2023-05,Type B / 4mm,641
2246,31,2023-02,Type A / 5mm,714
2247,29,2022-08,Type B / 4mm,753
2248,34,2022-10,Type B / 4mm,728
2249,40,2023-08,Type B / 5mm,706
2250,30,2022-05,Type C / 5mm,656
2251,39,2023-10,Type C / 6mm,796
2252,26,2023-05,Type B / 4mm,673
2253,23,2023-07,Type A / 5mm,716
2254,39,2023-08,Type C / 5mm,754
2255,27,2022-12,Type B / 4mm,722
2256,33,2023-06,Type C / 4mm,724
2257,30,2022-04,Type B / 6mm,721
2258,39,2022-04,Type B / 6mm,739
2259,34,2022-12,Type B / 4mm,789
2260,27,2022-07,Type A / 4mm,676
2261,40,2023-11,Type B / 6mm,785
2262,27,2023-04,Type C / 4mm,679
2263,23,2022-01,Type B / 5mm,784
2264,23,2023-12,Type B / 5mm,676
2265,27,2022-07,Type C / 4mm,780
2266,27,2022-06,Type C / 6mm,748
2267,26,2022-09,Type C / 6mm,792
2268,35,2023-12,Type C / 5mm,691
2269,30,2023-08,Type B / 4mm,678
2270,31,2022-09,Type A / 5mm,762
2271,34,2023-06,Type B / 5mm,717
2272,30,2022-09,Type C / 6mm,763
2273,23,2023-05,Type C / 4mm,713
2274,32,2023-03,Type A / 4mm,791
2275,38,2023-11,Type B / 4mm,703
2276,25,2023-04,Type A / 5mm,675
2277,25,2022-03,Type C / 6mm,773
2278,30,2022-08,Type A / 6mm,701
2279,33,2022-01,Type C / 4mm,703
2280,24,2023-10,Type C / 4mm,720
2281,33,2022-04,Type A / 4mm,777
2282,32,2023-01,Type B / 5mm,758
2283,29,2023-01,Type C / 4mm,737
2284,40,2022-09,Type B / 5mm,698
2285,33,2023-08,Type A / 4mm,745
2286,34,2023-07,Type A / 4mm,658
2287,27,2022-12,Type C / 4mm,647
2288,34,2022-10,Type C / 4mm,787
2289,36,2022-04,Type C / 4mm,725
2290,39,2022-08,Type A / 6mm,743
2291,36,2022-09,Type B / 6mm,771
2292,38,2022-09,Type A / 5mm,725
2293,38,2023-04,Type A / 6mm,694
2294,23,2023-06,Type A / 4mm,747
2295,32,2023-03,Type A / 6mm,765
2296,27,2023-07,Type A / 5mm,754
2297,21,2022-02,Type A / 6mm,767
2298,40,2023-05,Type C / 5mm,755
2299,23,2022-02,Type A / 6mm,645
2300,29,2022-08,Type A / 4mm,656
2301,33,2022-05,Type A / 6mm,734
2302,24,2023-11,Type A / 5mm,674
2303,22,2022-12,Type B / 5mm,650
2304,33,2022-10,Type C / 4mm,773
2305,21,2022-05,Type B / 6mm,679
2306,24,2022-01,Type B / 6mm,762
2307,39,2022-01,Type B / 5mm,778
2308,20,2022-05,Type C / 6mm,726
2309,30,2022-03,Type A / 5mm,703
2310,21,2022-08,Type C / 4mm,687
2311,31,2022-08,Type B / 6mm,670
2312,31,2023-10,Type B / 5mm,664
2313,20,2022-05,Type A / 6mm,796
2314,38,2023-06,Type A / 6mm,798
2315,35,2023-06,Type C / 6mm,694
2316,20,2022-08,Type B / 6mm,758
2317,29,2022-04,Type B / 6mm,669
2318,24,2023-12,Type B / 4mm,774
2319,34,2022-10,Type C / 5mm,651
2320,30,2022-10,Type B / 4mm,765
2321,20,2022-01,Type B / 5mm,660
2322,27,2022-06,Type A / 6mm,662
2323,29,2023-11,Type C / 5mm,771
2324,38,2023-01,Type B / 4mm,716
2325,26,2022-02,Type C / 4mm,707
2326,28,2022-06,Type A / 4mm,738
2327,28,2023-01,Type C / 5mm,777
2328,23,2023-11,Type A / 6mm,712
2329,29,2023-11,Type B / 5mm,658
2330,33,2023-08,Type B / 6mm,673
2331,21,2023-05,Type A / 6mm,687
2332,28,2022-10,Type A / 4mm,742
2333,20,2022-08,Type B / 5mm,737
2334,25,2022-04,Type C / 4mm,773
2335,23,2023-06,Type B / 6mm,658
2336,22,2022-01,Type C / 5mm,686
2337,26,2023-05,Type B / 6mm,772
2338,22,2022-10,Type C / 4mm,755
2339,24,2022-06,Type A / 6mm,797
2340,39,2023-03,Type A / 4mm,689
2341,21,2023-06,Type B / 4mm,800
2342,24,2023-07,Type C / 6mm,704
2343,21,2023-12,Type C / 6mm,663
2344,20,2023-12,Type C / 5mm,659
2345,30,2023-04,Type B / 4mm,652
2346,25,2024-01,Type B / 5mm,734
2347,30,2023-06,Type B / 6mm,749
2348,37,2022-10,Type B / 6mm,709
2349,37,2023-03,Type C / 6mm,730
2350,33,2022-12,Type A / 6mm,757
2351,38,2022-12,Type C / 6mm,641
2352,26,2023-11,Type A / 6mm,686
2353,33,2023-08,Type A / 6mm,659
2354,30,2023-02,Type B / 5mm,640
2355,35,2023-10,Type C / 5mm,706
2356,31,2022-04,Type B / 4mm,740
2357,20,2023-05,Type A / 4mm,678
2358,36,2022-02,Type B / 6mm,720
2359,23,2023-08,Type A / 5mm,716
2360,23,2023-03,Type B / 6mm,734
2361,34,2022-07,Type A / 6mm,697
2362,30,2023-03,Type C / 4mm,699
2363,31,2023-09,Type B / 6mm,678
2364,40,2022-05,Type C / 6mm,727
2365,27,2022-03,Type B / 4mm,773
2366,29,2023-12,Type A / 6mm,743
2367,39,2022-06,Type C / 4mm,738
2368,32,2023-06,Type B / 6mm,745
2369,27,2023-01,Type A / 4mm,668
2370,35,2023-08,Type B / 6mm,720
2371,32,2022-05,Type B / 4mm,788
2372,36,2022-08,Type A / 5mm,772
2373,27,2023-07,Type A / 4mm,662
2374,22,2023-06,Type C / 4mm,717
2375,21,2023-10,Type A / 5mm,694
2376,26,2023-01,Type C / 4mm,778
2377,34,2022-02,Type A / 5mm,690
2378,31,2022-03,Type B / 4mm,784
2379,31,2023-03,Type B / 4mm,777
2380,22,2023-09,Type C / 6mm,794
2381,31,2023-02,Type B / 5mm,717
2382,27,2023-05,Type C / 4mm,716
2383,24,2023-05,Type C / 4mm,706
2384,40,2023-07,Type C / 6mm,775
2385,33,2022-01,Type C / 5mm,724
2386,28,2023-01,Type B / 5mm,784
2387,23,2023-03,Type B / 4mm,720
2388,34,2022-05,Type C / 6mm,700
2389,23,2023-04,Type A / 4mm,739
2390,31,2023-11,Type B / 6mm,688
2391,40,2023-10,Type B / 5mm,755
2392,26,2022-04,Type B / 5mm,653
2393,28,2023-07,Type B / 5mm,780
2394,26,2023-02,Type B / 6mm,677
2395,31,2022-09,Type C / 5mm,645
2396,40,2023-09,Type A / 5mm,779
2397,33,2022-08,Type A / 4mm,642
2398,21,2022-09,Type C / 6mm,677
2399,31,2022-06,Type C / 6mm,718
2400,34,2023-04,Type C / 5mm,692
2401,26,2022-01,Type A / 5mm,767
2402,33,2023-08,Type C / 6mm,724
2403,20,2022-07,Type A / 4mm,702
2404,26,2022-01,Type B / 6mm,793
2405,36,2022-05,Type C / 4mm,682
2406,22,2023-01,Type C / 4mm,753
2407,23,2023-05,Type A / 5mm,711
2408,40,2022-09,Type A / 4mm,700
2409,36,2023-10,Type C / 4mm,667
2410,28,2023-05,Type B / 6mm,748
2411,23,2023-12,Type B / 5mm,767
2412,25,2022-07,Type B / 5mm,743
2413,29,2022-11,Type A / 5mm,748
2414,32,2022-03,Type A / 4mm,697
2415,20,2022-07,Type C / 6mm,713
2416,29,2022-06,Type C / 6mm,727
2417,33,2023-09,Type C / 5mm,713
2418,26,2022-04,Type C / 5mm,699
2419,25,2023-05,Type B / 4mm,682
2420,23,2022-12,Type B / 4mm,662
2421,38,2023-04,Type B / 5mm,693
2422,35,2022-04,Type B / 4mm,706
2423,36,2022-03,Type A / 4mm,728
2424,39,2022-07,Type A / 4mm,664
2425,22,2022-06,Type B / 6mm,692
2426,23,2023-06,Type A / 5mm,671
2427,36,2023-08,Type A / 4mm,753
2428,26,2022-07,Type B / 4mm,692
2429,23,2022-04,Type A / 4mm,661
2430,28,2023-04,Type C / 4mm,750
2431,20,2023-12,Type C / 4mm,743
2432,37,2022-07,Type B / 4mm,651
2433,26,2022-04,Type A / 5mm,693
2434,38,2022-03,Type C / 6mm,711
2435,40,2023-02,Type C / 5mm,675
2436,27,2022-08,Type C / 4mm,740
2437,25,2023-08,Type A / 6mm,741
2438,29,2023-05,Type C / 6mm,751
2439,31,2022-11,Type A / 6mm,724
2440,38,2022-11,Type A / 4mm,642
2441,20,2023-02,Type A / 5mm,799
2442,27,2022-05,Type A / 6mm,643
2443,36,2023-01,Type C / 4mm,764
2444,38,2022-04,Type C / 4mm,684
2445,35,2022-08,Type A / 6mm,781
2446,31,2023-08,Type B / 6mm,698
2447,29,2022-02,Type C / 6mm,656
2448,26,2022-12,Type A / 4mm,796
2449,22,2023-04,Type A / 5mm,791
2450,24,2023-10,Type A / 6mm,656
2451,33,2023-07,Type C / 5mm,763
2452,31,2022-01,Type B / 4mm,729
2453,27,2022-02,Type B / 6mm,793
2454,22,2023-02,Type B / 5mm,785
2455,20,2023-04,Type A / 5mm,718
2456,24,2023-12,Type A / 6mm,772
2457,20,2023-07,Type A / 4mm,692
2458,35,2023-08,Type C / 5mm,641
2459,29,2022-08,Type A / 5mm,703
2460,26,2022-09,Type C / 4mm,742
2461,23,2022-12,Type B / 6mm,757
2462,25,2022-04,Type A / 5mm,715
2463,30,2022-12,Type A / 5mm,799
2464,35,2022-08,Type A / 5mm,783
2465,20,2023-02,Type C / 5mm,722
2466,37,2023-11,Type B / 4mm,645
2467,20,2023-02,Type C / 4mm,667
2468,30,2022-06,Type A / 5mm,703
2469,33,2023-02,Type A / 6mm,716
2470,33,2022-11,Type C / 5mm,675
2471,40,2022-11,Type C / 6mm,779
2472,25,2023-08,Type B / 4mm,641
2473,30,2022-06,Type B / 6mm,711
2474,40,2023-10,Type A / 5mm,670
2475,24,2022-01,Type C / 4mm,683
2476,23,2023-04,Type B / 5mm,779
2477,33,2023-05,Type A / 4mm,665
2478,37,2022-11,Type B / 4mm,719
2479,29,2022-11,Type A / 6mm,725
2480,29,2022-05,Type A / 4mm,716
2481,37,2022-01,Type A / 6mm,640
2482,38,2022-09,Type B / 5mm,793
2483,25,2023-10,Type B / 4mm,723
2484,22,2022-06,Type C / 4mm,641
2485,20,2023-09,Type A / 4mm,723
2486,35,2023-10,Type C / 6mm,651
2487,22,2022-10,Type C / 5mm,773
2488,20,2023-08,Type A / 6mm,780
2489,38,2023-03,Type C / 5mm,777
2490,24,2023-05,Type B / 5mm,734
2491,21,2022-04,Type B / 5mm,713
2492,22,2022-01,Type B / 5mm,752
2493,20,2022-04,Type A / 4mm,729
2494,34,2023-09,Type C / 4mm,707
2495,38,2023-03,Type C / 4mm,771
2496,40,2022-12,Type A / 6mm,669
2497,31,2023-04,Type C / 5mm,662
2498,38,2023-01,Type B / 6mm,755
2499,30,2022-11,Type B / 5mm,700
2500,23,2023-06,Type B / 4mm,703
2501,24,2022-03,Type C / 5mm,688
2502,23,2022-08,Type A / 4mm,681
2503,36,2023-11,Type B / 5mm,708
2504,32,2023-01,Type C / 6mm,663
2505,29,2022-07,Type B / 4mm,737
2506,30,2022-06,Type B / 5mm,744
2507,23,2023-03,Type A / 6mm,724
2508,22,2023-04,Type C / 4mm,710
2509,26,2023-11,Type A / 5mm,767
2510,26,2022-05,Type B / 4mm,762
2511,26,2022-09,Type C / 6mm,784
2512,38,2023-10,Type B / 5mm,685
2513,32,2023-07,Type C / 6mm,703
2514,27,2023-05,Type B / 6mm,795
2515,33,2022-01,Type B / 6mm,790
2516,33,2022-12,Type C / 4mm,784
2517,35,2023-03,Type A / 4mm,685
2518,33,2022-08,Type A / 4mm,769
2519,40,2022-10,Type A / 5mm,693
2520,20,2023-08,Type C / 4mm,754
2521,21,2023-04,Type C / 4mm,704
2522,31,2023-08,Type B / 4mm,735
2523,27,2023-04,Type B / 5mm,721
2524,38,2022-08,Type B / 5mm,791
2525,20,2022-02,Type B / 6mm,694
2526,20,2023-01,Type B / 4mm,708
2527,30,2023-12,Type A / 4mm,725
2528,34,2023-08,Type C / 4mm,800
2529,35,2022-03,Type A / 4mm,669
2530,27,2023-04,Type C / 5mm,761
2531,20,2023-05,Type A / 4mm,779
2532,26,2022-07,Type B / 4mm,707
2533,22,2023-10,Type A / 4mm,696
2534,29,2023-05,Type C / 5mm,726
2535,23,2022-02,Type A / 6mm,759
2536,39,2022-01,Type C / 4mm,661
2537,22,2022-08,Type A / 5mm,700
2538,21,2023-08,Type A / 6mm,749
2539,35,2022-03,Type B / 6mm,780
2540,28,2023-10,Type B / 6mm,729
2541,40,2023-10,Type A / 4mm,770
2542,33,2022-08,Type C / 5mm,773
2543,26,2023-11,Type A / 6mm,798
2544,35,2022-08,Type A / 4mm,676
2545,34,2023-11,Type A / 6mm,796
2546,38,2022-10,Type B / 5mm,700
2547,40,2022-01,Type B / 6mm,751
2548,28,2023-07,Type A / 5mm,702
2549,37,2023-03,Type A / 4mm,661
2550,27,2022-10,Type B / 5mm,657
2551,26,2023-11,Type B / 6mm,665
2552,30,2023-05,Type A / 5mm,749
2553,40,2023-03,Type C / 5mm,670
2554,28,2023-07,Type B / 4mm,721
2555,29,2023-05,Type A / 5mm,731
2556,21,2022-06,Type C / 4mm,764
2557,40,2023-10,Type B / 5mm,644
2558,29,2022-08,Type C / 6mm,694
2559,27,2023-12,Type A / 6mm,648
2560,33,2023-09,Type C / 4mm,667
2561,27,2022-07,Type A / 6mm,778
2562,32,2022-07,Type A / 6mm,740
2563,24,2022-04,Type C / 5mm,783
2564,35,2023-05,Type A / 5mm,747
2565,23,2023-06,Type C / 4mm,762
2566,25,2022-11,Type B / 4mm,684
2567,34,2022-03,Type C / 6mm,774
2568,23,2022-05,Type A / 5mm,786
2569,28,2022-01,Type C / 6mm,767
2570,37,2022-05,Type C / 5mm,767
2571,22,2022-08,Type C / 6mm,725
2572,36,2023-12,Type B / 5mm,718
2573,24,2023-02,Type C / 6mm,646
2574,25,2023-10,Type C / 5mm,770
2575,40,2023-04,Type B / 6mm,776
2576,25,2023-06,Type B / 4mm,724
2577,40,2023-02,Type C / 5mm,688
2578,37,2023-07,Type A / 6mm,798
2579,33,2023-04,Type B / 4mm,735
2580,28,2022-12,Type B / 4mm,730
2581,21,2022-01,Type C / 6mm,761
2582,29,2022-07,Type A / 5mm,670
2583,39,2023-12,Type C / 6mm,646
2584,25,2022-01,Type C / 5mm,698
2585,27,2022-03,Type A / 4mm,653
2586,27,2023-05,Type B / 4mm,695
2587,23,2022-10,Type B / 6mm,640
2588,34,2022-07,Type A / 4mm,768
2589,38,2022-07,Type A / 6mm,647
2590,39,2022-09,Type A / 5mm,702
2591,34,2022-10,Type C / 4mm,785
2592,28,2023-08,Type B / 5mm,687
2593,25,2022-02,Type C / 4mm,688
2594,27,2022-01,Type C / 4mm,727
2595,29,2022-07,Type A / 5mm,764
2596,35,2023-12,Type B / 6mm,645
2597,39,2022-04,Type C / 5mm,678
2598,27,2022-04,Type B / 5mm,706
2599,38,2022-01,Type B / 6mm,785
2600,39,2022-11,Type C / 6mm,704
2601,35,2022-03,Type A / 4mm,760
2602,22,2022-02,Type B / 4mm,672
2603,29,2023-04,Type A / 6mm,763
2604,29,2022-03,Type C / 6mm,752
2605,38,2022-10,Type B / 4mm,663
2606,31,2022-04,Type B / 5mm,722
2607,28,2022-08,Type B / 4mm,653
2608,39,2022-08,Type B / 5mm,739
2609,34,2023-05,Type C / 4mm,781
2610,21,2022-08,Type A / 4mm,784
2611,34,2022-08,Type B / 4mm,763
2612,27,2022-06,Type A / 4mm,719
2613,23,2023-09,Type B / 4mm,747
2614,38,2023-08,Type B / 4mm,790
2615,37,2023-02,Type C / 4mm,728
2616,29,2022-07,Type C / 4mm,748
2617,40,2023-10,Type C / 6mm,797
2618,40,2023-01,Type A / 4mm,711
2619,22,2022-07,Type C / 6mm,763
2620,29,2023-06,Type C / 4mm,713
2621,36,2022-02,Type C / 5mm,766
2622,34,2022-07,Type B / 5mm,659
2623,33,2022-11,Type C / 6mm,701
2624,39,2022-12,Type A / 4mm,701
2625,28,2022-11,Type A / 5mm,733
2626,34,2022-11,Type C / 4mm,726
2627,22,2022-02,Type C / 4mm,647
2628,24,2022-06,Type C / 6mm,772
2629,40,2023-08,Type B / 4mm,717
2630,33,2022-06,Type C / 5mm,793
2631,36,2022-04,Type A / 5mm,724
2632,32,2023-12,Type C / 4mm,718
2633,37,2022-09,Type C / 5mm,704
2634,25,2022-06,Type B / 5mm,647
2635,32,2023-06,Type B / 6mm,669
2636,38,2022-01,Type B / 5mm,681
2637,26,2023-03,Type C / 6mm,760
2638,40,2022-10,Type A / 5mm,683
2639,20,2023-03,Type B / 6mm,764
2640,23,2022-11,Type B / 5mm,714
2641,21,2023-04,Type A / 6mm,719
2642,21,2022-05,Type A / 5mm,792
2643,22,2022-01,Type A / 6mm,768
2644,33,2022-04,Type A / 5mm,647
2645,40,2022-10,Type C / 5mm,722
2646,25,2023-09,Type B / 4mm,707
2647,21,2023-03,Type B / 4mm,753
2648,36,2023-06,Type B / 6mm,711
2649,34,2023-11,Type A / 4mm,685
2650,20,2023-04,Type A / 5mm,660
2651,36,2022-07,Type B / 5mm,716
2652,35,2023-07,Type C / 5mm,675
2653,25,2023-11,Type B / 5mm,652
2654,40,2022-05,Type A / 5mm,687
2655,28,2023-11,Type C / 4mm,752
2656,26,2022-08,Type A / 6mm,723
2657,28,2022-09,Type A / 4mm,719
2658,20,2022-06,Type C / 6mm,670
2659,20,2023-08,Type A / 6mm,672
2660,32,2023-07,Type C / 6mm,758
2661,37,2022-04,Type A / 6mm,641
2662,36,2022-01,Type B / 5mm,707
2663,39,2023-12,Type B / 5mm,748
2664,31,2022-07,Type C / 5mm,745
2665,38,2023-09,Type B / 5mm,775
2666,36,2022-04,Type A / 6mm,790
2667,21,2023-12,Type B / 4mm,734
2668,29,2023-10,Type C / 6mm,737
2669,27,2022-08,Type C / 4mm,693
2670,33,2023-03,Type B / 6mm,713
2671,40,2022-03,Type A / 6mm,656
2672,30,2023-04,Type A / 4mm,754
2673,33,2022-06,Type C / 5mm,699
2674,31,2022-01,Type C / 5mm,800
2675,38,2023-03,Type C / 5mm,798
2676,29,2023-08,Type A / 4mm,765
2677,37,2022-06,Type C / 6mm,640
2678,33,2023-04,Type A / 4mm,704
2679,34,2022-05,Type A / 6mm,702
2680,37,2023-06,Type C / 4mm,669
2681,35,2023-09,Type B / 4mm,715
2682,29,2023-05,Type B / 5mm,690
2683,25,2023-04,Type A / 4mm,708
2684,36,2022-09,Type B / 4mm,731
2685,23,2023-03,Type B / 6mm,725
2686,22,2022-09,Type A / 6mm,714
2687,33,2023-10,Type B / 4mm,745
2688,32,2022-07,Type C / 6mm,774
2689,27,2023-01,Type C / 5mm,730
2690,34,2023-11,Type B / 5mm,727
2691,32,2022-08,Type A / 4mm,675
2692,40,2023-09,Type A / 4mm,749
2693,20,2022-09,Type B / 6mm,688
2694,37,2022-01,Type C / 5mm,678
2695,33,2022-08,Type C / 5mm,792
2696,35,2022-06,Type A / 6mm,767
2697,36,2023-02,Type A / 5mm,797
2698,33,2023-04,Type A / 5mm,749
2699,21,2022-12,Type C / 5mm,787
2700,20,2022-01,Type B / 5mm,789
2701,24,2022-05,Type C / 6mm,700
2702,31,2023-05,Type B / 5mm,716
2703,28,2023-12,Type C / 4mm,730
2704,34,2022-10,Type A / 4mm,735
2705,39,2022-10,Type B / 4mm,691
2706,37,2023-06,Type A / 5mm,774
2707,31,2023-11,Type B / 4mm,795
2708,21,2022-03,Type B / 5mm,659
2709,39,2023-11,Type B / 4mm,765
2710,29,2023-07,Type C / 5mm,669
2711,26,2022-09,Type C / 5mm,704
2712,25,2022-07,Type A / 5mm,670
2713,32,2023-06,Type B / 6mm,726
2714,35,2022-11,Type C / 4mm,780
2715,25,2022-04,Type A / 5mm,727
2716,37,2022-12,Type C / 5mm,727
2717,20,2022-08,Type A / 6mm,735
2718,36,2022-05,Type A / 4mm,726
2719,29,2023-02,Type A / 5mm,689
2720,36,2023-05,Type B / 5mm,782
2721,40,2023-10,Type B / 4mm,648
2722,22,2023-06,Type A / 5mm,759
2723,31,2023-12,Type A / 5mm,800
2724,28,2022-05,Type B / 6mm,663
2725,25,2022-10,Type C / 4mm,676
2726,22,2023-11,Type A / 5mm,724
2727,29,2022-01,Type B / 4mm,649
2728,30,2023-05,Type C / 6mm,663
2729,37,2023-10,Type A / 5mm,662
2730,35,2022-09,Type B / 5mm,757
2731,31,2022-03,Type C / 6mm,768
2732,37,2023-08,Type B / 6mm,651
2733,30,2023-09,Type B / 6mm,674
2734,36,2022-07,Type A / 5mm,733
2735,23,2023-01,Type A / 4mm,769
2736,40,2023-10,Type B / 6mm,748
2737,36,2023-08,Type A / 4mm,745
2738,31,2022-05,Type B / 4mm,679
2739,33,2023-05,Type C / 4mm,710
2740,30,2022-10,Type B / 6mm,715
2741,21,2023-04,Type B / 4mm,665
2742,37,2023-03,Type A / 5mm,788
2743,30,2023-02,Type A / 6mm,643
2744,39,2022-05,Type C / 5mm,681
2745,29,2023-07,Type C / 4mm,714
2746,30,2023-06,Type A / 5mm,708
2747,24,2023-03,Type C / 5mm,686
2748,27,2022-03,Type B / 4mm,757
2749,30,2023-12,Type B / 4mm,671
2750,27,2022-10,Type A / 4mm,683
2751,36,2023-05,Type A / 6mm,650
2752,35,2023-05,Type B / 5mm,661
2753,27,2022-07,Type C / 6mm,696
2754,29,2023-02,Type A / 6mm,678
2755,31,2022-01,Type C / 4mm,712
2756,33,2022-04,Type A / 6mm,736
2757,38,2022-01,Type B / 6mm,780
2758,32,2022-05,Type A / 6mm,756
2759,36,2023-07,Type C / 5mm,704
2760,23,2023-03,Type C / 4mm,752
2761,40,2023-10,Type C / 5mm,717
2762,32,2023-11,Type B / 4mm,683
2763,40,2022-10,Type B / 4mm,721
2764,35,2022-09,Type B / 5mm,743
2765,38,2022-05,Type A / 4mm,705
2766,32,2023-10,Type B / 4mm,747
2767,39,2023-11,Type B / 4mm,766
2768,40,2023-05,Type A / 4mm,685
2769,21,2022-11,Type A / 5mm,653
2770,30,2022-01,Type C / 4mm,653
2771,28,2023-07,Type B / 5mm,646
2772,29,2023-09,Type C / 6mm,709
2773,40,2022-05,Type C / 4mm,695
2774,28,2023-11,Type B / 6mm,772
2775,30,2023-10,Type A / 6mm,777
2776,27,2022-01,Type B / 5mm,694
2777,35,2023-08,Type B / 6mm,707
2778,38,2023-08,Type A / 5mm,727
2779,23,2023-08,Type A / 4mm,698
2780,23,2022-12,Type A / 5mm,761
2781,37,2022-09,Type B / 6mm,725
2782,21,2023-07,Type C / 6mm,752
2783,25,2022-05,Type B / 5mm,759
2784,33,2022-05,Type C / 6mm,726
2785,38,2022-12,Type C / 4mm,741
2786,36,2022-08,Type B / 6mm,709
2787,36,2023-10,Type C / 5mm,681
2788,21,2023-06,Type A / 4mm,778
2789,37,2023-02,Type A / 4mm,724
2790,22,2022-11,Type A / 6mm,790
2791,25,2022-05,Type C / 4mm,777
2792,38,2022-12,Type B / 4mm,640
2793,35,2023-11,Type B / 5mm,746
2794,35,2023-03,Type B / 5mm,689
2795,28,2022-02,Type B / 6mm,793
2796,21,2023-12,Type A / 4mm,641
2797,21,2023-05,Type A / 6mm,684
2798,22,2023-06,Type A / 4mm,794
2799,23,2022-09,Type B / 4mm,715
2800,40,2023-07,Type B / 5mm,739
2801,40,2022-07,Type A / 5mm,724
2802,39,2022-04,Type C / 4mm,745
2803,38,2023-06,Type B / 4mm,738
2804,30,2023-07,Type A / 4mm,663
2805,37,2022-06,Type B / 6mm,729
2806,21,2022-01,Type A / 6mm,724
2807,21,2022-08,Type C / 6mm,795
2808,25,2022-12,Type B / 6mm,666
2809,24,2022-03,Type C / 4mm,683
2810,25,2023-01,Type A / 4mm,705
2811,27,2022-07,Type A / 6mm,705
2812,25,2023-06,Type A / 5mm,716
2813,26,2023-11,Type B / 4mm,688
2814,30,2022-10,Type A / 6mm,766
2815,22,2023-12,Type B / 5mm,676
2816,40,2023-06,Type A / 5mm,753
2817,37,2023-10,Type B / 5mm,792
2818,25,2023-08,Type C / 5mm,730
2819,25,2022-11,Type A / 6mm,796
2820,29,2023-08,Type A / 5mm,777
2821,34,2022-04,Type B / 5mm,676
2822,34,2022-09,Type C / 5mm,800
2823,39,2023-11,Type A / 5mm,645
2824,23,2022-01,Type C / 6mm,704
